cin,name,pan,address_norm,incorporated_on,status
L74899DL1995PLC072759,UFL EXPORTS LIMITED,,C O RAJESHWAR PRASAD PANDEY A 43 A DDA FLATS MUNIRKA NEW DELHI UNCLASSIFIED DL 110067,1995-09-27,Strike Off
L74899DL1999PLC101315,EMERGENT INDUSTRIES AND TECHNOLOGIES LIMITED,,EXPRESS BUILDING 9 10BAHADUR SHAH ZAFAR MARG NEW DELHI UNCLASSIFIED DL 110002,1999-08-27,Strike Off
L74899DL2000PLC104222,MICRO SOFTACE PRODUCTS LIMITED.,,G 22 LAJPAT NAGAR III NEW DELHI UNCLASSIFIED DL 110024,2000-03-07,Strike Off
L74899DL2000PLC106134,SHRIRAM EDUCARE LIMITED,,EXPRESS BUILDINGBAHADUR SHAH ZAFAR MARG NEW DELHI UNCLASSIFIED DL 110002,2000-06-07,Strike Off
L74899DL2000PLC108133,SHREE BAJRANG ROADLINES LTD,,2045 1 GALI NO 6CHUNA MANDI PAHARGANJ NEW DELHI UNCLASSIFIED DL 110055,2000-10-12,Strike Off
U00000DL1974PTC007240,KAMAL ENTERPRISES PRIVATE LIMITED,,PG 74 POSSANGIPURJANAKPURI NEW DELHI UNCLASSIFIED DL 110058,1974-04-30,Strike Off
U00000DL1976PTC008117,NAJIBABAD FINANCE PRIVATE LIMITED,,8 LADY HARDING ROADDELHI UNCLASSIFIED DL 000000,1976-03-23,Strike Off
U00000DL1978PTC009362,DURGA PHARMACEUTICALS PRIVATE LIMITED,,K 185 SURYA PLAZA1ST FLOOR SARAI JULENA N F C NEW DELHI UNCLASSIFIED DL 110025,1978-12-12,Strike Off
U00000DL1982PTC013700,NEETRA PRIVATE LIMITED,,53 SCHIME III OKHLAINUSTRIAL AREA PHASE II NEW DELHI UNCLASSIFIED DL 000000,1982-05-20,Strike Off
U00000DL1982PTC109770,AVIS INTERNATIONAL (EXPORTS ) PRIVATE LIMITED,,A 16MAYFAIR GARDEN NEW DELHI UNCLASSIFIED DL 110016,1982-02-22,Strike Off
U00000DL1984PTC018357,JAS MEDIA INDIA PRIVATE LIMITED,,H 59 D SAKET NEW DELHI 110017 NEW DELHI SOUTH DELHI UNCLASSIFIED DL 110017,1984-06-08,Strike Off
U00000DL1986PTC024641,NAVCHETAN BOOKS PRIVATE LTD,,NEW DELHI UNCLASSIFIED DL 110055,1986-06-27,Strike Off
U00000DL1988PTC030282,STANFORGE ENGINEERS PVT LTD,,3477 GALI BAJRANG BALICHAWRI BAZAR DELHI UNCLASSIFIED DL 000000,1988-01-12,Strike Off
U00000DL1988PTC030330,W G ASSOCIATES PRIVATE LIMITED,,8 ORIENTAL BANK BLDG4 5 NETAJI S MARG DARYAGANJ NEW DELHI UNCLASSIFIED DL 110002,1988-01-15,Strike Off
U00000DL1988PTC030535,JAYAMAN INVESTMENTS PRIVATE LIMITED,,16 NIZAMUDDIN EAST NEW DELHI UNCLASSIFIED DL 110013,1988-02-05,Strike Off
U00000DL1988PTC031019,D P METALS PVT LTD,,1785 5 1ST FLOOR BHAGIRATH PLACE CHANDNI CHOWK DELHI UNCLASSIFIED DL 110006,1988-03-21,Strike Off
U00000DL1988PTC031055,N R POWER BLOCKS PVT LTD,,FLAT NO L G F SATYAM APPTS7 A 2 RAJPUR ROAD NEW DELHI UNCLASSIFIED DL 110054,1988-03-23,Strike Off
U00000DL1988PTC031258,CHADHA PROPERTIES PRIVATE LIMITED,,51 5 OLD RAJINDER NAGAR NEW DELHI UNCLASSIFIED DL 110060,1988-04-11,Strike Off
U00000DL1989PTC037772,KAITTKEE CHITS PRIVATE LIMITED,,198 56 RAMESH MARKET GARHIEAST OF KAILASH NEW DELHI UNCLASSIFIED DL 110065,1989-09-21,Strike Off
U00000DL1989PTC037819,OLYMPIC INTERNATIONAL (ENGINES) PRIVATELIMITED,,2669 SADAR THANA ROAD DELHI NORTH DELHI UNCLASSIFIED DL 110006,1989-09-26,Strike Off
U00000DL1990PTC040121,WOODVILLE RESORTS PRIVATE LIMITED,,R 13 GK I NEW DELHI UNCLASSIFIED DL 110048,1990-05-14,Strike Off
