cin,name,status,roc
L45201WB1940PLC010213,BENGAL ELECTRIC SUPPLY CORPN LTD,Strike Off,RoC-Kolkata
L45201WB1990PLC049672,PROPER LIFE HOUSING DEVELOPMENT & INVESTMENT LTD.,Strike Off,RoC-Kolkata
L45201WB1998PLC087487,SSM PROPERTIES & DEVELOPERS LIMITED,Strike Off,RoC-Kolkata
L45201WB1998PLC088419,SNEHA BUILDING MAINTENANCE LIMITED,Strike Off,RoC-Kolkata
L45202MH1994PLC077244,GAMMON ESTATES LTD,Strike Off,RoC-Mumbai
L45203MH1995PLC089748,SHAHI PORTS LIMITED,Strike Off,RoC-Mumbai
L45209WB1998PLC086694,YESSEMITSU PROJECTS (INDIA) LIMITED,Strike Off,RoC-Kolkata
L45309WB1987PLC042680,AARPEEJAY CONSTRUCTIONS LTD.,Strike Off,RoC-Kolkata
L50401MH1975PLC018541,VICTOR MOPDS LTD,Strike Off,RoC-Pune
L51101WB1945PLC012390,NATIONAL COMMODITIES LTD,Strike Off,RoC-Kolkata
L51101WB1981PLC033933,PET SUPPLIES LTD,Strike Off,RoC-Kolkata
L51109WB1949PLC018213,PUNAM CHAND MOHTA LTD,Strike Off,RoC-Kolkata
L51109WB1956PLC019813,CALCUTTA TUBE IMPORERS ASSOCIATION LTD,Strike Off,RoC-Kolkata
L51109WB1981PLC034136,BALRAMPUR EXPORTS LTD,Strike Off,RoC-Kolkata
L51109WB1984PLC037995,COUNCIL TRADERS LIMITED.,Strike Off,RoC-Kolkata
L51109WB1994PLC065017,VENKTESHWAR NIRYAT & FINANCE LTD.,Strike Off,RoC-Kolkata
L51109WB1995PLC073896,CHITRAVALI DISTRIBUTORS LTD.,Strike Off,RoC-Kolkata
L51109WB1999PLC090530,VELVET VISION LIMITED,Strike Off,RoC-Kolkata
L51225WB1970PLC027645,BIHARJI FIBRE & TEA INDUSTRIES LTD,Strike Off,RoC-Kolkata
L51310MH2000PLC128193,TEXSOC LIMITED,Strike Off,RoC-Mumbai
L51398MH1994PLC078566,MODERN JEWELLERY IMPEX LIMITED,Strike Off,RoC-Mumbai
L51431WB1993PLC061032,PRAKRITPLANT MEDIA LTD.,Strike Off,RoC-Kolkata
L51505WB2000PLC091093,HMP RALLIFAN MARKETING COMPANY LIMITED,Strike Off,RoC-Kolkata
L51900MH1991PLC062833,KOMAL WELD TRADE LIMITED,Strike Off,RoC-Mumbai
L51900MH1994PLC078869,P AND B OVERSEAS P LTD,Strike Off,RoC-Mumbai
L51900MH1994PLC080248,INTER-LINE MARKETING SERVICES LIMITED,Strike Off,RoC-Mumbai
L51900MH1994PLC080400,ABHI GOLDIAMOND EXPORTS (INDIA) LIMITED,Strike Off,RoC-Mumbai
L51900MH1994PTC081291,PROLINE TECHNOLOGIES LIMITED,Strike Off,RoC-Mumbai
L51900MH1995PLC088272,WELWORTH ENTERPRISES LIMITED,Strike Off,RoC-Mumbai
L51900MH1995PLC092202,DINA OVERSEAS LIMITED,Strike Off,RoC-Mumbai
L51900MH1996GAP104385,GARMENT FABRICS EXPORTS ASSOCIATION,Strike Off,RoC-Mumbai
L51909DL1998PLC092804,F C S AIRWAYS LIMITED,Strike Off,RoC-Delhi
L51909MH1994PLC077059,GOVARDHAN PAPERS LIMITED,Strike Off,RoC-Mumbai
L51909MH1996PLC102331,BHAWNA EXPORT LIMITED,Strike Off,RoC-Mumbai
L51909WB1942PLC011031,NARUNDI TRADING CO LTD,Strike Off,RoC-Kolkata
L51909WB1943PLC011297,KALYANI & CO. LTD,Strike Off,RoC-Kolkata
L51909WB1945PLC012404,DARJEELING COMMERCIAL CO LTD,Strike Off,RoC-Kolkata
L51909WB1948PLC016998,BALLABHADAS AGARWAL LTD,Strike Off,RoC-Kolkata
L51909WB1952PLC020410,BIKANER ENGINEERING CO LTD,Strike Off,RoC-Kolkata
L51909WB1958PLC024035,CALCUTTA VYAPAR PRATISTHAN LTD,Strike Off,RoC-Kolkata
L51909WB1982PLC034630,BTS EXPORTS LTD,Strike Off,RoC-Kolkata
L51909WB1994PLC062783,KESHAU MARKETING LIMITED,Strike Off,RoC-Kolkata
L52190MH1996PLC096778,SOLAR FRANCHISES LIMITED,Strike Off,RoC-Mumbai
L52190MH1999PLC120727,LOKHANDWALA MALL OF INDIA LIMITED,Strike Off,RoC-Mumbai
L52603WB1950PLC018956,CHANDA ENGINEERS (INDIA) LTD,Strike Off,RoC-Kolkata
L55101MH1999PLC120967,SHREE BRAJA BHOOMI HOTELS LIMITED,Strike Off,RoC-Mumbai
L55101WB1999PLC090039,SILABATI HOTEL & LODGE LIMITED,Strike Off,RoC-Kolkata
L60210MH1995PLC086099,KATAKATARIA TRANSPORTAND HEAVY INDUSTRIES LIMITED,Strike Off,RoC-Mumbai
L60300MH2000PLC124310,WEST COAST PIPELINES LIMITED,Strike Off,RoC-Mumbai
L61100MH1995PLC084897,STELLAR SHIPPING LIMITED,Strike Off,RoC-Mumbai
L61100MH2000PLC126101,SIDDHIVINAYAK PORTS AND POWER LIMITED,Strike Off,RoC-Mumbai
L61110MH1995PLC087450,MALTRANS WATERWAYS LIMITED,Strike Off,RoC-Mumbai
L63040WB1988PLC045174,SUPERIOR AGENCIES LTD,Strike Off,RoC-Kolkata
L63040WB1990PLC050151,DISNEYLAND FANTASY LTD.,Strike Off,RoC-Kolkata
L63040WB1990PLC050160,UDAAN TRAVELS LTD.,Strike Off,RoC-Kolkata
L63040WB1996PLC079943,GREENEDGE RESORTS & TOURISM LTD,Strike Off,RoC-Kolkata
L63040WB1999PLC090400,SYMPHONIC RESORTS INDIA LIMITED,Strike Off,RoC-Kolkata
L63090MH1994PLC078383,AL FATAH SHIPPING LIMITED,Strike Off,RoC-Mumbai
L63090MH1995PLC091307,AVKASH SHIPPING LIMITED,Strike Off,RoC-Mumbai
